vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
9,24.9377158057,29.3163011339,21.0824840061,30.5161072443,1.5920843938e+16,13598294500.0,7.9590576745e+15,7.96178626349e+15
2,9.01259846653,3.89532572535,12.8888533432,3.40378733876,5.75386193263e+15,1806837300.0,4.8657988825e+15,8.88063050134e+14
16,0.347197396632,1.26630505669,0.263901262543,0.467724116014,2.21659257428e+14,587372500.0,9.96279835121e+13,1.22031273916e+14
19,0.0206459416391,0.0599399520599,0.0238158333403,0.0160592143953,1.31808709888e+13,27803000.0,8.99095149637e+12,4.18991949239e+12
5,0.000441328748882,0.00782800294678,0.000380994466215,0.000528630437438,2.8175500078e+11,3631000.0,1.4383300039e+11,1.3792200039e+11
1,0.000188051267212,0.00228415563815,0.000119306287215,0.000287522953428,1.200565e+11,1059500.0,45040500000.0,75016000000.0
15,9.59455949643e-05,0.00137114014711,6.27304646669e-05,0.000144006777303,61254000000.0,636000.0,23682000000.0,37572000000.0
9,26.6480351789,31.0322862618,22.5291822891,32.6078775156,1.7012753399e+16,14394250000.0,8.5052150945e+15,8.50753830449e+15
2,9.71700069255,4.07079458303,13.9291497854,3.6221618713,6.20356943582e+15,1888228100.0,5.25853151207e+15,9.45037923749e+14
16,0.383043124034,1.38088041627,0.290800446022,0.51651519317,2.44544041113e+14,640518000.0,1.09782961106e+14,1.34761080007e+14
19,0.0221329980763,0.0606255221334,0.0254833691073,0.0172851232801,1.41302439645e+13,28121000.0,9.62047946565e+12,4.50976449886e+12
5,0.000526713183371,0.00934789886457,0.000453626393089,0.000632467323815,3.3626649922e+11,4336000.0,1.7125299961e+11,1.6501349961e+11
1,0.00017594568177,0.00209551607388,0.000111459019181,0.000269255725156,1.12328e+11,972000.0,42078000000.0,70250000000.0
15,9.67287731646e-05,0.00128490491773,6.35092315199e-05,0.000144796338576,61754000000.0,596000.0,23976000000.0,37778000000.0
9,20.9237211249,24.5326292296,17.6892249599,25.6039288666,1.33582121645e+16,11379400000.0,6.67803479099e+15,6.68017737352e+15
2,7.65506616962,3.17813631921,11.0184198051,2.78840597893,4.88718031639e+15,1474170750.0,4.1596729629e+15,7.27507353488e+14
16,0.315448604724,1.1290498318,0.238820006715,0.426327622459,2.01390056948e+14,523707000.0,9.01593098196e+13,1.11230747128e+14
19,0.0152422149166,0.0435735834643,0.0181792817544,0.010992377461,9.73100049929e+12,20211500.0,6.86304099282e+12,2.86795950647e+12
5,0.0004060450041,0.0072124989971,0.000350723215465,0.000486093781482,2.5922900046e+11,3345500.0,1.3240500023e+11,1.2682400023e+11
1,0.000148023812573,0.00171284724352,9.48254598166e-05,0.000225000049277,94502000000.0,794500.0,35798500000.0,58703500000.0
15,7.34997077433e-05,0.00101541982593,4.84371791613e-05,0.000109764348143,46924000000.0,471000.0,18286000000.0,28638000000.0
Total,100,100,100,100,6.38424307263e+16,46384755150.0,3.77519919958e+16,2.60904387304e+16