destsiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
ORLANDO1FLWDC,26.1278091125,26.1278091125,1.6421885994,26.989237943,3306708320.0,124001562000.0,413018.5,11.800117
MIAMI1FLWDC,22.5597928256,22.5597928256,2.79940257628,24.7145320451,2855143893.33,107067896000.0,704063.5,10.80558
NASHVILLE2TNWDC,8.07285247994,8.07285247994,1.66888589105,8.94655872838,1021691805.33,38313442700.0,419733.0,3.91157542
UNKNOWNWDC1,7.36368476262,7.36368476262,47.4835059136,6.48218962541,931940277.333,34947760400.0,11942335.0,2.8341147
WASHINGTONDCWDC,5.37435232163,5.37435232163,2.25446093424,5.71862014671,680172434.667,25506466300.0,567008.0,2.50027018
HOUSTON2TXWDC,3.3804896706,3.3804896706,0.987642736402,3.6401799189,427831253.333,16043672000.0,248397.0,1.591543601
ORLANDO2FLWDC,3.1417851575,3.1417851575,1.39280182052,2.70671445792,397621058.667,14910789700.0,350296.5,1.1834179
AKRONOHWDC,2.93052985882,2.93052985882,2.97412282156,2.38108635532,370884808.0,13908180300.0,748006.5,1.0410482
CHICAGOILWDC,2.49253582182,2.49253582182,2.73553503652,1.99014748329,315452738.667,11829477700.0,688000.5,0.87012361
STOCKTONCAWDC,2.2546964865,2.2546964865,1.61428655991,2.0450032288,285352040.0,10700701500.0,406001.0,0.8941074
KANSASCITYMOWDC,2.11180460942,2.11180460942,3.95658275661,2.24399375338,267267792.8,10022542230.0,995100.0,0.98110917
ST.PAULMNWDC,1.69386138423,1.69386138423,1.45126389927,1.56221309134,214373333.333,8039000000.0,365000.0,0.683024
MIAMI2FLWDC,1.65558270862,1.65558270862,1.15769706884,1.71612101801,209528824.0,7857330900.0,291166.5,0.750314953
TACOMAWAWDC,1.5912509742,1.5912509742,1.0337810002,1.09869833927,201387066.667,7552015000.0,260001.0,0.4803681
OMAHA1NEWDC,1.50146416313,1.50146416313,1.14908292298,1.62879808325,190023741.333,7125890300.0,289000.0,0.712136
SEATTLEWAWDC,1.19531111795,1.19531111795,1.11727439916,1.13971219667,151277330.667,5672899900.0,281000.0,0.4983
FTWORTH1TXWDC,1.03199060675,1.03199060675,5.2938627988,0.862786011253,130607656.8,4897787130.0,1331432.5,0.37722354
SANJOSECAWDC,0.823045145861,0.823045145861,1.30812554208,0.759215746084,104163736.8,3906140130.0,329000.0,0.331941
HARRISONNJWDC,0.582362986907,0.582362986907,2.87871911846,0.586035928872,73703253.3333,2763872000.0,724012.0,0.256224075
TACOMASAEGW02WDC,0.580641074301,0.580641074301,0.54472097041,0.378623233065,73485329.8667,2755699870.0,137000.0,0.16554
UNKNOWNWDC,0.547708650006,0.547708650006,5.09442733052,0.484563335678,69317436.5333,2599403870.0,1281273.5,0.21185867
ELKRIDGEMDWDC,0.512813742227,0.512813742227,2.34236975391,0.411839107791,64901173.3333,2433794000.0,589117.5,0.1800625
BUFFALONYWDC,0.432682446739,0.432682446739,0.48110988687,0.194609002482,54759840.0,2053494000.0,121001.5,0.0850861
ENGLEWOODCOWDC,0.430260597909,0.430260597909,0.357869749363,0.34718565702,54453333.3333,2042000000.0,90006.0,0.151795
CHEYENNEWYWDC,0.428301036909,0.428301036909,0.902566863381,0.217352699276,54205333.3333,2032700000.0,227000.0,0.09503
BAYAMONPRWDC,0.354301271001,0.354301271001,1.01794631944,0.182982931708,44840000.0,1681500000.0,256018.5,0.080003
HOUSTON1TXWDC,0.320463234536,0.320463234536,0.831045397573,0.249462254938,40557493.3333,1520906000.0,209012.0,0.1090688
SPRINGFIELDMAWDC,0.131950516528,0.131950516528,0.608343982148,0.0801961289005,16699520.0,626232000.0,153001.5,0.035063002
MANHATTANNYWDC,0.0836226853536,0.0836226853536,0.218725349947,0.0163823781871,10583200.0,396870000.0,55010.5,0.007162632
ORLANDOFLWDC,0.0811490029738,0.0811490029738,1.73375539931,0.0795351232729,10270133.3333,385130000.0,436048.0,0.034774
ANAHEIMCAWDC,0.0541890256168,0.0541890256168,0.182899011963,0.0263104493285,6858106.66667,257179000.0,46000.0,0.01150334
FAIRFAXSCWDC,0.0444169266894,0.0444169266894,0.0437774749231,0.0418546324361,5621360.0,210801000.0,11010.25,0.0182995
BURBANKCAWDC,0.0293774013726,0.0293774013726,0.524973841217,0.0200191602381,3717973.33333,139424000.0,132033.5,0.00875269
ATLANTAWDC,0.0265488909581,0.0265488909581,0.000699787524031,0.023558169026,3360000.0,126000000.0,176.0,0.0103
FAIRFAXWDC,0.0109419357735,0.0109419357735,0.00012524606254,0.00874396895014,1384800.0,51930000.0,31.5,0.003823
PHOENIX1AZWDC,0.0101349337705,0.0101349337705,0.139162291711,0.00332330287328,1282666.66667,48100000.0,35000.0,0.001453
LENEXA3KSWDC,0.00886437970324,0.00886437970324,0.00800183177337,0.00873253294576,1121866.66667,42070000.0,2012.5,0.003818
ELKRIDGEAWDC,0.00244755489976,0.00244755489976,4.97008184681e-05,0.00128174737109,309760.0,11616000.0,12.5,0.0005604
MANHATTANNYWDCWDC,0.00226044843015,0.00226044843015,5.7652949423e-05,0.00146668814674,286080.0,10728000.0,14.5,0.000641259
CHICAGOWDC,0.00207334196054,0.00207334196054,1.59042619098e-05,0.000562651415573,262400.0,9840000.0,4.0,0.000246
HARRISONWDC,0.00194270456059,0.00194270456059,3.37965565583e-05,0.00150497817661,245866.666667,9220000.0,8.5,0.000658
MIAMIWDC,0.00191109873802,0.00191109873802,4.37367202519e-05,0.00141577734244,241866.666667,9070000.0,11.0,0.000619
KANSASCITYWDC,0.00176992606388,0.00176992606388,3.77726220358e-05,0.000672437057636,224000.0,8400000.0,9.5,0.000294
HOUSTONWDC,0.00161611106071,0.00161611106071,2.58444256034e-05,0.000594672227841,204533.333333,7670000.0,6.5,0.00026
ELKRIDGEBWDC,0.0015381500317,0.0015381500317,3.77726220358e-05,0.001090994818,194666.666667,7300000.0,9.5,0.000477
FTWORTHTXWDC,0.00152550770267,0.00152550770267,1.39162291711e-05,0.00103610199697,193066.666667,7240000.0,3.5,0.000453
SANJOSEWDC,0.00141509802917,0.00141509802917,0.00796803521681,0.000366203732306,179093.333333,6716000.0,2004.0,0.00016011
BUFFALOWDC,0.00128108934147,0.00128108934147,1.78922946485e-05,0.000489460987531,162133.333333,6080000.0,4.5,0.000214
ANAHEIM2WDC,0.00103456392543,0.00103456392543,1.59042619098e-05,0.000388824148973,130933.333333,4910000.0,4.0,0.00017
ORLANDOWDC,0.000881802449681,0.000881802449681,0.00400190990305,0.000369520173577,111600.0,4185000.0,1006.5,0.00016156
PHOENIXWDC,0.000865999538396,0.000865999538396,1.78922946485e-05,0.000281325707786,109600.0,4110000.0,4.5,0.000123
BURBANK1WDC,0.000838607825503,0.000838607825503,1.59042619098e-05,0.000191896153523,106133.333333,3980000.0,4.0,8.39e-05
FTWORTHWDC,0.000514121380459,0.000514121380459,1.39162291711e-05,0.000138146932929,65066.6666667,2440000.0,3.5,6.04e-05
BURBANK2WDC,0.000512014325621,0.000512014325621,1.39162291711e-05,0.000225518006404,64800.0,2430000.0,3.5,9.86e-05
SPRINGFIELD1WDC,0.000362413432127,0.000362413432127,5.96409821617e-06,5.23769000675e-05,45866.6666667,1720000.0,1.5,2.29e-05
HOMEWOODALWDC,0.000333546780847,0.000333546780847,7.9521309549e-05,0.000168566704584,42213.3333333,1583000.0,20.0,7.37e-05
LOUISVILLEKYWDC,0.000292248506023,0.000292248506023,7.55452440715e-05,0.000164221022919,36986.6666667,1387000.0,19.0,7.18e-05
PHOENIX2AZWDC,0.000221240757984,0.000221240757984,0.0318085238196,0.000149125497136,28000.0,1050000.0,8000.0,6.52e-05
AKRONWDC,0.000140540557691,0.000140540557691,7.9521309549e-06,3.79675345468e-05,17786.6666667,667000.0,2.0,1.66e-05
SPRINGFIELD2WDC,0.000134640804145,0.000134640804145,1.98803273872e-06,1.39747973543e-05,17040.0,639000.0,0.5,6.11e-06
RESTONVAWDC,0.000114202372217,0.000114202372217,9.94016369362e-06,6.51852249749e-05,14453.3333333,542000.0,2.5,2.85e-05
ATLANTAAWDC,0.000106827680284,0.000106827680284,0.0159142020735,6.86160262894e-05,13520.0,507000.0,4002.5,3e-05
PEARLCITYWDC,0.000105352741897,0.000105352741897,3.97606547745e-06,2.97336113921e-05,13333.3333333,500000.0,1.0,1.3e-05
ANAHEIM1WDC,7.9014556423e-05,7.9014556423e-05,5.96409821617e-06,2.7903850691e-05,10000.0,375000.0,1.5,1.22e-05
CHICAGOAWDC,4.40374461131e-05,4.40374461131e-05,3.97606547745e-06,9.2402915403e-06,5573.33333333,209000.0,1.0,4.04e-06
FT.WORTHAWDC,2.80238293447e-05,2.80238293447e-05,0.0079521309549,1.39747973543e-05,3546.66666667,133000.0,2000.0,6.11e-06
AKRJOHIJ02-MSR01WDC,1.6435027736e-05,1.6435027736e-05,1.98803273872e-06,1.6513590327e-06,2080.0,78000.0,0.5,7.22e-07
CHCGILFF01-DSR11WDC,1.52761475751e-05,1.52761475751e-05,1.98803273872e-06,1.53471178801e-06,1933.33333333,72500.0,0.5,6.71e-07
NASHVILLEWDC,8.1121611261e-06,8.1121611261e-06,1.98803273872e-06,8.14243511967e-07,1026.66666667,38500.0,0.5,3.56e-07
PEARLCITYHIWDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,100,100,100,100,12655895891.5,474596095930.0,25150491.25,43.721564221